time,open,high,low,close,volume,atr,rsi,ema50,macd,adx,swing_high,swing_low,last_swing_high,last_swing_low,prev_swing_high,structure,bos_bullish,bos_bearish,trend,ob_bullish,ob_bearish,ob_bottom,ob_top,ob_strength,ob_mitigated,active_ob_bull_top,active_ob_bull_bot,active_ob_bear_top,active_ob_bear_bot,inside_ob_bull,inside_ob_bear,fvg_bullish,fvg_bearish,fvg_bull_top,fvg_bull_bot,fvg_bear_top,fvg_bear_bot,active_fvg_bull_top,active_fvg_bull_bot,active_fvg_bear_top,active_fvg_bear_bot,inside_fvg_bull,inside_fvg_bear,sweep_liquidity_high,sweep_liquidity_low,fvg_density,ob_density,range_position,in_premium,in_discount,in_ote_bull,in_ote_bear,is_in_premium,is_in_discount,P_traditional,R1_traditional,S1_traditional,R2_traditional,S2_traditional,P_fibonacci,R1_fibonacci,S1_fibonacci,R2_fibonacci,S2_fibonacci,confluence_score,gold_ema_50,gold_ema_200,gold_trend,dxy_open,dxy_high,dxy_low,dxy_close,dxy_volume,dxy_rsi,dxy_ema_50,dxy_trend,gold_dxy_corr,inverse_confluence,csm_GBP,csm_USD,csm_base,csm_quote,csm_diff,news_impact_GBP,news_impact_USD,news_impact_net,news_sentiment,news_impact_score,news_impact_base,news_impact_quote,day_of_week,month,dxy_corr_30d
2025-09-21 23:00:00,1.347218632698059,1.3472368717193604,1.346928358078003,1.3470189571380615,0,0.0003085136413574219,50.0,1.3470189571380615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3470189571380615,1.3470189571380615,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,5.049671415301123,5.166303137821185,5.049671415301123,5.166303137821185,-0.11663172252006149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,9,0.0
2025-09-21 23:30:00,1.3469102382659912,1.3470189571380615,1.3464205265045166,1.3464205265045166,0,0.0004534721374511719,0.0,1.3469954892700793,-4.773805623736749e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.3470613956451416,1.3471944332122803,1.3468859195709229,1.347369909286499,1.3467528820037842,1.3470613956451416,1.3471792478561402,1.346943543434143,1.3472520570755004,1.3468707342147828,0.0,1.3469954892700793,1.3470130026043945,-1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-1,0.0,0,5.364009073018364,4.777559905514842,5.364009073018364,4.777559905514842,0.5864491675035222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,9,0.0
2025-09-22 00:00:00,1.346221089363098,1.34678316116333,1.346221089363098,1.346765160560608,0,0.0004896720250448331,36.54405258500822,1.3469864567716687,-5.710346840182012e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.346620003382365,1.3468194802602134,1.3462210496266684,1.34721843401591,1.34602157274882,1.346620003382365,1.3468486038843792,1.3463914028803508,1.3469898335138957,1.3462501732508343,0.0,1.3469864567716687,1.3470105365144067,-1,3688.199951171875,3748.199951171875,3688.0,3740.699951171875,410.0,50.0,3740.699951171875,-1,0.0,0,5.379342594217087,4.844540452109891,5.379342594217087,4.844540452109891,0.5348021421071962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0
2025-09-22 01:00:00,1.3473094701766968,1.3474546670913696,1.34689199924469,1.3471097946166992,0,0.0005396306514740545,53.527124606554345,1.3469912935499053,-3.6298114843624774e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.3465898036956787,1.3469585180282595,1.3463964462280273,1.3471518754959109,1.3460277318954466,1.3465898036956787,1.3468045151233674,1.34637509226799,1.3469371640682222,1.3462424433231353,0.0,1.3469912935499053,1.3470115241572156,1,3688.199951171875,3748.199951171875,3688.0,3740.699951171875,410.0,50.0,3740.699951171875,-1,0.0,1,4.591229853354773,4.105808685164823,4.591229853354773,4.105808685164823,0.4854211681899496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0
2025-09-22 01:30:00,1.3469102382659912,1.347400188446045,1.3466744422912598,1.3466744422912598,0,0.0005768537521362749,40.00276740002768,1.3469788680103507,-5.431293086788358e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.3471521536509197,1.3474123080571494,1.3468496402104697,1.3477148214975994,1.34658948580424,1.3471521536509197,1.3473670927683512,1.3469372145334881,1.3474998823801678,1.3468044249216715,0.0,1.3469788680103507,1.3470081701087981,-1,3688.199951171875,3748.199951171875,3688.0,3740.699951171875,410.0,50.0,3740.699951171875,-1,0.0,0,4.375388651223949,4.068793592884066,4.375388651223949,4.068793592884066,0.3065950583398829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0
2025-09-22 02:00:00,1.3466018438339231,1.346692442893982,1.345949411392212,1.3461849689483645,0,0.000604550043741899,31.153017241382443,1.3469477347138024,-0.00010685445874303312,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.3469163576761882,1.3471582730611167,1.3464325269063315,1.3476421038309734,1.346190611521403,1.3469163576761882,1.3471935927073162,1.3466391226450602,1.3473648687998454,1.346467846552531,0.0,1.3469477347138024,1.3469999790524754,-1,3688.199951171875,3748.199951171875,3688.0,3740.699951171875,410.0,50.0,3740.699951171875,-1,0.0,0,4.434552140019151,3.79752520986615,4.434552140019151,3.79752520986615,0.6370269301530009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0
2025-09-22 02:30:00,1.346293568611145,1.346619963645935,1.3459855318069458,1.3460036516189575,0,0.0006088188716343788,28.793386783526728,1.346910711847338,-0.00016126581929598593,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.3462756077448528,1.3466018040974936,1.3458587725957236,1.3470186392466228,1.3455325762430828,1.3462756077448528,1.3465594457785288,1.3459917697111767,1.3467348012129468,1.3458164142767588,0.0,1.346910711847338,1.3469900653466693,-1,3688.199951171875,3748.199951171875,3688.0,3740.699951171875,410.0,50.0,3740.699951171875,-1,0.0,0,4.204871304207956,3.8094579268822364,4.204871304207956,3.8094579268822364,0.39541337732572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0
2025-09-22 03:00:00,1.345876932144165,1.3465837240219116,1.345876932144165,1.3464748859405518,0,0.0006210654973984042,40.50511774985437,1.346893620635307,-0.00016446667362735035,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.346203049023946,1.3464205662409463,1.345786134401957,1.3468374808629353,1.3455686171849568,1.346203049023946,1.34644540198644,1.345960696061452,1.3465951279004413,1.3458109701474508,0.0,1.346893620635307,1.3469849391834245,-1,3688.199951171875,3748.199951171875,3688.0,3740.699951171875,410.0,50.0,3740.699951171875,-1,0.0,0,4.048934489255573,4.00645062893099,4.048934489255573,4.00645062893099,0.042483860324582956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0
2025-09-22 03:30:00,1.3464930057525637,1.3467469215393066,1.3461849689483645,1.346293568611145,0,0.0006144973966810438,38.09430639796517,1.3468700891833791,-0.00017956426186072072,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.3463118473688762,1.3467467625935874,1.3460399707158408,1.3470186392466228,1.3456050554911296,1.3463118473688762,1.3465818418661755,1.346041852871577,1.3467486447493235,1.3458750499884289,0.0,1.3468700891833791,1.3469780598742478,-1,3688.199951171875,3748.199951171875,3688.0,3740.699951171875,410.0,50.0,3740.699951171875,-1,0.0,0,3.9631060237202336,3.799665887853845,3.9631060237202336,3.799665887853845,0.1634401358663884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0
2025-09-22 04:00:00,1.3460761308670044,1.3463118076324463,1.3454241752624512,1.3454241752624512,0,0.0006418108940124511,29.636507549926932,1.3468133866766763,-0.0002586998558213871,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,1.346408486366272,1.3466320037841795,1.3460700511932373,1.3469704389572141,1.3458465337753298,1.346408486366272,1.346623152256012,1.346193820476532,1.3467557730674742,1.3460611996650698,0.0,1.3468133866766763,1.346962598335822,-1,3688.199951171875,3748.199951171875,3688.0,3740.699951171875,410.0,50.0,3740.699951171875,-1,0.0,0,4.024154477792531,4.018592988933818,4.024154477792531,4.018592988933818,0.005561488858712771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0
